,Place,Size,Price
7,"Manyani Road, Lavington, Dagoretti North",4047.0,0
12,"Wanjohi Area, Ol Kalou, Ol Kalou",40470.0, 10000000
15,"Kitengela, Kajiado North",0.0, 4500000
16,"Red Hill, Red Hill",0.0, 22000000
18,"Thika Road, Kahawa Sukari, Roysambu",0.0, 12500000
22,"lukenya, Athi River",161880.0, 400000000
23,"Outer Ring Road, Donholm, Embakasi",0.0,0
24,"Magarini Malindi, Magarini, Magarini",89034.0, 1980000
26,"Kikenni, Mukoma, Nairobi Hardy, Langata",4047.0, 47000000
27,"Bogani Road, Karen, Langata",4047.0, 67000000
31,"Convent Road, Lavington, Dagoretti North",0.0, 145000000
37,"Kisaju, Kajiado Central",24282.0, 36000000
48,"Kiambu Road, Kiambu Road",0.0, 5000000
53,"Thika Gatura, Thika Road, Thika Road",384465.0, 855000000
57,"Koma phase 2, Koma Rock, Kangundo",0.0, 650000
60,"Banana-Raini Road, Ruaka, Kiambaa",0.0, 6500000
64,"Westwood Park, Karen, Karen, Langata",4047.0, 61000000
67,"Embakasi Estate, Embakasi",0.0, 23000000
69,"Rhino Park Road, Karen, Langata",4047.0, 61000000
70,"Juja, Kiambu Constituency",0.0, 720000
81,"Isinya, Kajiado North",356136.0, 352000000
89,"MIGAA Golf Estate, Kiambu Road, Kiambu Road",0.0, 5000000
91,"Nyari, Westlands Redhill Link road, Nyari, Westlands",4047.0, 220000000
93,"Amboseli Road, Lavington, Dagoretti North",4047.0, 156000000
94,"Westlands Area, Westlands",0.0, 180000000
95,"St. Julian Road, Red Hill, Red Hill",0.0, 10000000
102,"Muthaiga Area, Muthaiga",4047.0, 650000000
